SRR11784031	SRR11784026	SRR11784028	SRR11784030	SRR11784027	SRR11784029	SRR11784032
4065	0	10	0	4	1	0	0
51742	9	19	36	98	21	32	46
10806	37	63	58	47	27	52	31
5798	0	1	0	0	0	1	0
55733	2	3	4	15	7	3	6
23095	10	43	56	67	58	48	40
2296	18	31	27	101	36	28	101
25771	3	6	8	21	23	7	13
23224	150	328	492	897	363	395	427
10079	8	5	16	28	15	12	31
23626	0	0	0	0	0	0	0
2581	0	0	3	6	11	5	6
3757	0	4	0	2	6	2	14
8454	16	9	16	17	14	13	17
26999	45	54	131	259	135	175	255
5610	12	40	22	61	34	42	9
57602	10	30	32	44	20	29	48
55283	3	20	4	14	19	17	1
23369	9	18	18	48	20	14	40
3700	0	0	0	0	0	2	0
3697	0	2	1	3	1	1	2
51663	12	27	29	12	13	20	18
7185	2	4	3	7	2	5	4
54542	2	17	8	30	8	10	22
55540	69	111	70	47	93	79	40
10758	186	624	300	271	340	273	93
131566	84	182	143	131	108	156	84
6317	0	0	0	0	0	0	0
6646	2	3	3	2	6	0	4
4438	0	0	1	4	0	0	0
2155	28	21	32	39	12	20	12
2665	19	35	25	36	29	21	21
639	0	15	4	2	7	7	6
9474	0	29	2	12	7	5	1
8975	0	0	5	13	8	3	10
23200	4	24	27	35	36	25	17
3918	1	2	1	8	1	0	1
29927	56	161	110	161	114	107	67
4659	27	81	82	120	59	68	38
5923	1	9	16	15	3	15	0
816	97	164	115	94	120	111	73
9696	15	28	20	75	25	26	44
55718	15	66	35	32	38	37	21
493	7	50	27	45	47	17	27
9877	0	0	0	0	1	1	0
55781	3	27	10	8	14	12	5
54432	0	2	1	2	2	3	2
55706	0	2	0	3	4	1	1
1608	2	0	2	2	8	2	1
64718	51	106	71	117	80	77	68
6916	39	58	24	72	19	28	50
64761	4	19	9	19	17	8	10
5832	0	5	7	11	6	3	3
6894	2	10	9	14	7	7	14
4084	13	127	77	39	45	124	19
5662	13	30	18	28	18	4	16
9150	7	8	10	33	15	25	30
8531	26	61	43	104	45	39	135
55359	0	0	0	0	0	0	0
65125	113	239	277	383	216	300	290
11054	21	48	25	67	37	54	88
2769	0	1	1	1	1	1	2
55650	0	3	10	6	3	4	6
10076	2	7	7	8	3	4	1
23504	14	11	5	18	3	14	17
1301	0	8	0	0	1	3	1
79832	3	31	27	28	17	28	16
30	11	32	52	46	44	47	31
586	0	0	3	2	0	1	3
6676	25	44	27	54	37	18	16
10787	7	35	25	69	39	47	57
60488	0	4	11	7	7	9	1
2983	0	4	4	7	5	0	3
10188	3	15	10	44	24	20	37
23041	1	30	26	37	25	23	15
1001	0	20	5	6	6	10	9
416	0	0	4	0	1	2	0
1431	29	89	49	72	64	74	38
4058	2	1	1	2	1	3	1
63916	27	57	43	38	38	52	29
23063	6	18	21	40	19	15	34
10513	1	7	7	12	9	5	27
5424	1	1	3	1	1	6	1
1975	119	282	276	234	213	301	158
28968	2	2	3	5	2	8	5
29998	7	27	13	66	18	12	60
56848	39	91	45	117	82	101	68
6141	34	69	45	60	69	45	99
770	12	7	6	37	15	18	30
79763	5	16	24	21	15	13	23
11338	38	23	45	75	32	34	78
29924	17	18	45	163	60	46	152
8776	4	14	14	27	10	8	14
2817	27	68	40	72	49	42	32
3029	24	54	24	38	37	35	60
6047	3	13	6	24	15	12	24
841	23	43	58	51	53	44	47
22998	20	27	29	116	44	35	44
51768	1	15	20	22	22	19	18
10077	17	50	17	26	22	10	16
8839	2	5	0	2	5	1	1
10402	36	110	59	80	68	41	48
9914	24	98	80	84	59	66	45
4804	0	0	3	2	5	9	4
50937	1	1	0	4	1	3	0
6873	6	16	19	20	15	25	8
28996	81	112	254	709	195	251	434
23534	2	13	16	46	18	12	12
8625	14	14	24	19	24	14	24
54929	5	22	2	14	5	7	12
5476	87	486	128	258	212	172	154
6558	0	10	5	16	4	12	6
28966	35	62	43	30	59	27	24
2139	1	4	5	11	4	6	11
10347	1	2	3	36	4	7	2
9627	13	5	6	14	4	3	1
53339	8	44	36	29	36	18	9
8537	18	7	17	22	15	21	14
5449	2	3	4	2	4	2	1
1117	26	28	9	16	25	16	6
22904	21	37	47	74	31	41	89
5378	8	13	8	11	14	9	14
10362	12	25	38	86	31	33	64
10203	3	37	16	13	12	13	6
6882	29	69	54	53	37	46	42
23294	14	29	48	46	27	54	42
8943	68	88	117	220	88	131	177
7629	28	30	37	47	24	28	31
9351	34	28	31	151	69	68	123
4913	12	50	14	21	47	24	24
2773	1	12	13	15	6	4	5
4942	4	4	13	4	5	9	2
10885	96	93	94	130	115	80	60
5586	6	30	31	32	10	39	14
57418	5	8	19	17	7	27	49
9697	35	124	49	94	50	58	31
9423	22	69	48	48	36	43	36
9340	0	0	0	0	0	0	0
55388	0	0	0	0	0	0	0
1606	7	14	11	24	8	10	11
2065	9	31	33	74	50	60	58
23536	3	8	15	9	5	2	4
10954	1	4	5	15	5	4	11
55633	0	5	4	10	3	3	7
23013	38	111	123	225	107	152	110
4638	161	332	276	408	298	287	238
55854	10	18	36	27	29	25	26
6416	1	3	2	12	4	5	4
9892	0	0	0	0	0	0	0
9748	6	29	50	78	33	43	94
51167	0	1	8	2	4	3	3
1308	7	34	11	16	22	4	11
55176	114	244	150	145	130	177	76
5588	19	30	23	23	19	25	7
51665	1	4	4	22	11	4	8
4199	1	3	0	0	0	0	0
23216	9	54	42	84	57	33	92
10797	24	91	70	43	56	74	20
84679	12	34	52	29	60	34	17
55810	10	33	1	31	9	10	41
4904	60	82	106	210	102	100	108
5141	1	8	3	23	3	2	3
5525	21	100	62	77	95	83	90
1496	0	0	0	0	0	3	0
1994	0	20	12	20	15	8	22
7075	9	11	13	29	14	10	20
6602	10	9	44	25	23	24	17
4802	15	36	34	47	18	25	34
6550	271	276	297	495	270	232	490
259266	0	0	2	1	0	3	0
8832	0	1	0	1	5	1	0
64834	0	12	1	12	2	5	3
6688	39	50	51	55	27	47	42
744	4	5	8	21	9	11	13
51208	140	208	201	263	156	148	104
27107	37	74	42	41	43	44	52
4287	21	59	35	53	53	33	35
9950	2	12	13	12	6	3	7
2263	3	21	32	52	27	36	39
55631	3	1	2	3	1	4	0
51015	1	3	5	0	5	5	4
2009	1	12	10	6	6	8	5
60487	0	7	3	13	6	5	2
55623	9	62	58	73	102	50	11
10565	64	119	93	141	122	177	110
